algorithm,filename,Input SNR,utterances,No. in Babble,pesq,pesqImp,segSNR,segSNRImp
mohammadiaSupervised,mohammadiaSupervised_001ut-3dB.wav,-3,1,1,1.999195,0.147102,2.185738,-6.170625
mohammadiaSupervised,mohammadiaSupervised_001ut-6dB.wav,-6,1,1,2.216814,0.147132,2.515099,-7.697497
mohammadiaSupervised,mohammadiaSupervised_001ut00dB.wav,0,1,1,1.774857,0.129038,-1.479355,-3.949273
mohammadiaSupervised,mohammadiaSupervised_001ut03dB.wav,3,1,1,1.484156,0.032697,-0.853972,-10.147968
mohammadiaSupervised,mohammadiaSupervised_003ut-3dB.wav,-3,3,1,1.961480,0.109387,6.720925,-1.635438
mohammadiaSupervised,mohammadiaSupervised_003ut-6dB.wav,-6,3,1,2.198924,0.129242,7.743433,-2.469163
mohammadiaSupervised,mohammadiaSupervised_003ut00dB.wav,0,3,1,1.669941,0.024121,4.491399,2.021482
mohammadiaSupervised,mohammadiaSupervised_003ut03dB.wav,3,3,1,1.348501,-0.102958,2.243169,-7.050827
mohammadiaSupervised,mohammadiaSupervised_005ut-3dB.wav,-3,5,1,1.923355,0.071262,7.365536,-0.990827
mohammadiaSupervised,mohammadiaSupervised_005ut-6dB.wav,-6,5,1,2.176916,0.107233,7.739077,-2.473518
mohammadiaSupervised,mohammadiaSupervised_005ut00dB.wav,0,5,1,1.660618,0.014799,6.582614,4.112697
mohammadiaSupervised,mohammadiaSupervised_005ut03dB.wav,3,5,1,1.332092,-0.119367,1.319145,-7.974852
mohammadiaSupervised,mohammadiaSupervised_010ut-3dB.wav,-3,10,1,1.899300,0.047207,8.144252,-0.212110
mohammadiaSupervised,mohammadiaSupervised_010ut-6dB.wav,-6,10,1,2.155223,0.085540,9.602746,-0.609850
mohammadiaSupervised,mohammadiaSupervised_010ut00dB.wav,0,10,1,1.575579,-0.070241,5.836723,3.366805
mohammadiaSupervised,mohammadiaSupervised_010ut03dB.wav,3,10,1,1.335324,-0.116135,0.612027,-8.681969
mohammadiaSupervised,mohammadiaSupervised_015ut-3dB.wav,-3,15,1,1.893903,0.041810,7.048230,-1.308132
mohammadiaSupervised,mohammadiaSupervised_015ut-6dB.wav,-6,15,1,2.134474,0.064792,9.681758,-0.530837
mohammadiaSupervised,mohammadiaSupervised_015ut00dB.wav,0,15,1,1.629962,-0.015858,8.373225,5.903308
mohammadiaSupervised,mohammadiaSupervised_015ut03dB.wav,3,15,1,1.282269,-0.169190,3.993726,-5.300270
mohammadiaSupervised,mohammadiaSupervised_020ut-3dB.wav,-3,20,1,1.889138,0.037045,7.528595,-0.827767
mohammadiaSupervised,mohammadiaSupervised_020ut-6dB.wav,-6,20,1,2.132371,0.062689,8.991870,-1.220726
mohammadiaSupervised,mohammadiaSupervised_020ut00dB.wav,0,20,1,1.607692,-0.038127,6.165546,3.695628
mohammadiaSupervised,mohammadiaSupervised_020ut03dB.wav,3,20,1,1.353422,-0.098038,1.297777,-7.996219
mohammadiaSupervised,mohammadiaSupervised_030ut-3dB.wav,-3,30,1,1.992766,0.140673,6.203791,-2.152571
mohammadiaSupervised,mohammadiaSupervised_030ut-6dB.wav,-6,30,1,2.214099,0.144417,6.467650,-3.744946
mohammadiaSupervised,mohammadiaSupervised_030ut00dB.wav,0,30,1,1.696747,0.050928,5.096553,2.626636
mohammadiaSupervised,mohammadiaSupervised_030ut03dB.wav,3,30,1,1.400863,-0.050597,4.673309,-4.620687
mohammadiaSupervised,mohammadiaSupervised_040ut-3dB.wav,-3,40,1,1.992373,0.140280,0.318011,-8.038352
mohammadiaSupervised,mohammadiaSupervised_040ut-6dB.wav,-6,40,1,2.237829,0.168147,3.023508,-7.189088
mohammadiaSupervised,mohammadiaSupervised_040ut00dB.wav,0,40,1,1.725102,0.079283,-2.055046,-4.524963
mohammadiaSupervised,mohammadiaSupervised_040ut03dB.wav,3,40,1,1.430010,-0.021450,-0.514373,-9.808369
mohammadiaSupervised,mohammadiaSupervised_050ut-3dB.wav,-3,50,1,1.994992,0.142899,0.543994,-7.812369
mohammadiaSupervised,mohammadiaSupervised_050ut-6dB.wav,-6,50,1,2.219253,0.149570,3.175914,-7.036682
mohammadiaSupervised,mohammadiaSupervised_050ut00dB.wav,0,50,1,1.696837,0.051018,-0.778089,-3.248006
mohammadiaSupervised,mohammadiaSupervised_050ut03dB.wav,3,50,1,1.448697,-0.002763,-1.417178,-10.711174
mohammadiaSupervised,mohammadiaSupervised_060ut-3dB.wav,-3,60,1,2.001961,0.149868,1.896410,-6.459953
mohammadiaSupervised,mohammadiaSupervised_060ut-6dB.wav,-6,60,1,2.226495,0.156813,2.589123,-7.623473
mohammadiaSupervised,mohammadiaSupervised_060ut00dB.wav,0,60,1,1.681309,0.035489,-1.883346,-4.353264
mohammadiaSupervised,mohammadiaSupervised_060ut03dB.wav,3,60,1,1.463912,0.012453,-0.732478,-10.026475
mohammadiaSupervised,mohammadiaSupervised_070ut-3dB.wav,-3,70,1,1.981280,0.129187,0.243710,-8.112653
mohammadiaSupervised,mohammadiaSupervised_070ut-6dB.wav,-6,70,1,2.239835,0.170153,2.755445,-7.457151
mohammadiaSupervised,mohammadiaSupervised_070ut00dB.wav,0,70,1,1.719320,0.073501,-2.364992,-4.834909
mohammadiaSupervised,mohammadiaSupervised_070ut03dB.wav,3,70,1,1.480746,0.029286,-0.810436,-10.104432
mohammadiaSupervised,mohammadiaSupervised_080ut-3dB.wav,-3,80,1,2.005600,0.153507,-0.474847,-8.831209
mohammadiaSupervised,mohammadiaSupervised_080ut-6dB.wav,-6,80,1,2.238721,0.169039,3.057554,-7.155042
mohammadiaSupervised,mohammadiaSupervised_080ut00dB.wav,0,80,1,1.704473,0.058654,-1.172028,-3.641945
mohammadiaSupervised,mohammadiaSupervised_080ut03dB.wav,3,80,1,1.396836,-0.054623,-0.479067,-9.773063
